City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hadibu,12.65,54.0333,28.22,77,100,11.84,YE,1686714796
84,greymouth,-42.4667,171.2,11.83,75,31,1.15,NZ,1686714796
85,aykhal,66.0,111.5,15.89,33,100,1.25,RU,1686714796
86,remire-montjoly,4.9167,-52.2667,25.02,88,40,0.0,GF,1686714796
87,jamui,24.9167,86.2167,42.79,12,3,6.37,IN,1686714796
88,petra,30.3222,35.4793,21.51,49,1,1.34,JO,1686714797
89,wailua homesteads,22.0669,-159.378,26.24,81,100,6.69,US,1686714797
90,richards bay,-28.783,32.0377,14.3,54,1,3.19,ZA,1686714797
91,enewetak,11.3474,162.3373,27.83,81,100,8.55,MH,1686714797
92,kyabe,9.4515,18.9449,24.21,82,100,1.4,TD,1686714797
93,hermanus,-34.4187,19.2345,13.78,84,100,10.94,ZA,1686714797
94,vicosa,-20.7539,-42.8819,16.18,82,15,1.06,BR,1686714678
95,camana,-16.6228,-72.7111,17.38,86,87,4.98,PE,1686714781
96,yellowknife,62.456,-114.3525,14.29,62,75,3.6,CA,1686714797
97,kuanda,56.3161,116.0806,18.85,28,2,1.27,RU,1686714798
98,constantia,44.1833,28.65,15.39,80,100,6.04,RO,1686714798
99,khuzdar,27.7384,66.6434,29.05,44,89,3.01,PK,1686714798
100,cockburn town,21.4612,-71.1419,27.88,87,29,8.96,TC,1686714798
101,begamganj,23.6,78.3333,34.37,37,2,7.07,IN,1686714798
102,lebu,-37.6167,-73.65,9.79,77,99,4.92,CL,1686714734
103,maun,-19.9833,23.4167,0.98,75,0,0.0,BW,1686714798
104,port saint john's,-31.6229,29.5448,17.68,46,4,2.52,ZA,1686714798
105,urganch,41.55,60.6333,26.97,21,0,4.12,UZ,1686714798
106,nar'yan-mar,67.6713,53.087,7.24,57,100,10.22,RU,1686714799
107,puerto natales,-51.7236,-72.4875,2.99,88,98,1.18,CL,1686714799
108,vorgashor,67.5833,63.95,5.89,65,100,5.53,RU,1686714799
109,north bend,43.4065,-124.2243,14.58,94,100,6.17,US,1686714799
110,geraldton,-28.7667,114.6,20.23,56,40,3.6,AU,1686714799
111,ilulissat,69.2167,-51.1,1.01,86,75,0.51,GL,1686714799
112,papatowai,-46.5619,169.4708,10.16,72,93,0.57,NZ,1686714799
113,avarua,-21.2078,-159.775,21.03,83,75,2.06,CK,1686714799
114,guajara mirim,-10.7828,-65.3394,12.64,84,100,2.67,BR,1686714799
115,puerto aysen,-45.4,-72.7,5.23,98,100,2.04,CL,1686714800
116,isangel,-19.55,169.2667,26.06,61,75,2.57,VU,1686714767
117,newman,37.3138,-121.0208,27.13,40,28,0.89,US,1686714800
118,utrik,11.2278,169.8474,27.91,81,64,9.34,MH,1686714800
119,carnarvon,-24.8667,113.6333,20.09,32,0,7.45,AU,1686714800
120,castillos,-34.1667,-53.8333,5.31,83,4,1.65,UY,1686714800
121,puerto ayora,-0.7393,-90.3518,26.42,89,100,5.36,EC,1686714800
122,kotabumi,-4.8333,104.9,29.75,70,79,1.68,ID,1686714800
123,chateaubourg,48.1112,-1.4002,15.25,92,24,2.9,FR,1686714800
124,preobrazheniye,42.9019,133.9064,18.11,74,74,2.36,RU,1686714800
